Cidade,Bairro,Latidude,Longitude
Vitória,Enseada do Suá,-20.315138,-40.291628
Vitória,Ufes Goiabeiras,-20.277009,-40.304439
Vitória,Centro de Vitória,-20.319248,-40.336695
Vitória,Ilha de Santa maria,-20.314598,-40.318615
Serra,Jacaraípe,-20.128878,-40.207748
Vitória,Ilha das Caieiras,-20.277830,-40.335772
Santa Teresa,Santa teresa,-19.938882,-40.593109
VItória,Jardim Camburi,-20.256699,-40.267814
VItória,Pedra da Gamela,-20.296404,-40.302266
VItória,Santa Lúcia (morro da Gamela),-20.296404,-40.302266
VItória,Vila Rubim,-20.320566,-40.346922
VItória,Enseada do Suá (praça do papa),-20.317134,-40.296231
VItória,Praia do Canto,-20.298794,-40.294898
VItória,Resistência,-20.272391,-40.318660
Serra,Civit II,-20.190867,-40.245930
Vila Velha,Itapuã,-20.351573,-40.289138
VItória,Inhanguetá,-20.297837,-40.348177
vitória,Maria Ortiz,-20.257645,-40.297764
vitória,Aeroporto,-20.265361,-40.283461
vila Velha,Barra do Jucu,-20.426769,-40.326596
Santa Leopoldina,Santa Leopoldina,-20.100782,-40.528093
vitória,Bento Ferreira,-20.313953,-40.307219
vitória,Baía de Vitória,-20.321470,-40.314291
vitória,Vitória,-20.287180,-40.326217
vitória,Gurigica (Jaburu),-20.306883,-40.304673
Serra,Serra Sede,-20.124014,-40.305511
Serra,Nova Almeida,-20.058647,-40.192128
Itarana,Itarana,-19.872199,-40.874288
Vitória,Jardim da Penha,-20.283563,-40.294629
Vila Velha,Vila Velha,-20.383633,-40.346939
Cariacica,Tucum (Adalto Botelho),-20.314549,-40.381474
Vila Velha,Prainha,-20.329119,-40.292072
Vila Velha,Ponta da Fruta,-20.510911,-40.361891
Rio de Janeiro,Rio de Janeiro,-22.924135,-43.410423
Linhares,Regência,-19.647031,-39.826545
Vitória,Monte belo (Ilha da fumaça),-20.318904,-40.313079
Viana,Campo Verde,-20.376335,-40.407876
Vitória,Jesus de nazareth,-20.318068,-40.302568
França ,Paris,48.856337,2.337443
Vitória,Mata da Praia,-20.275862,-40.290068
Vila Velha,Boa Vista II,-20.352923,-40.297950
Aracruz,Aracruz,-19.826895,-40.268495
Vila Velha,Riviera da Barra,-20.427917,-40.336717
Venda Nova do Imigrante,Venda Nova do Imigrante,-20.330163,-41.132070
Vila Velha,Cobilândia (Rod. Carlos Lindemberg),-20.350457,-40.347482
Jaguaré,Jaguaré,-18.906566,-40.074110
Vila Velha,Coqueiral de Itaparica,-20.365085,-40.304631
Vila Velha,Divino Espírito Santo,-20.347365,-40.298115
Vitória,Barro Vermelho,-20.294574,-40.296875
Marilândia,Marilândia,-19.412370,-40.545359
Vitória,Mário Cypreste,-20.318854,-40.356234
Serra,Morada de Laranjeiras,-20.193366,-40.225553
Vitória,Santa Martha,-20.287751,-40.309934
Vitória,Santa Lúcia,-20.303361,-40.300975
Grécia,Atenas,37.991624,23.731988
Vitória,Santa Cecília,-20.301234,-40.320467
Vila Velha,Praia da Costa,-20.332730,-40.282003
Serra ,Serra,-20.206198,-40.222954
Vila Velha,Araçás (Rod. Darly Santos),-20.368568,-40.328154
Linhares,Lagoa Juparanã,-19.275954,-40.135229
Vitória,Pontal de Camburi,-20.289331,-40.297745
Linhares,Centro de Linhares,-19.405657,-40.063859
Guarapari,Centro de Guarapari,-20.669568,-40.495161
Serra,Porto Canoa,-20.153251,-40.250200
Cariacica,Cariacica Sede,-20.267789,-40.413385
João Neiva,João Neiva,-19.758422,-40.378731
Vila Velha,Jockey de Itaparica,-20.386337,-40.316335
Domingos Martins,Centro de Domingos Martins,-20.363968,-40.658726
Cariacica,Cariacica,-20.324706,-40.404393
Bahia,Ibicaraí,-14.859261,-39.586159
Minas Gerais,Carmo do Rio Claro,-20.974795,-46.120554
Vitória,Goiabeiras,-20.265785,-40.299006
Vila Velha,Glória (Morro da mantegueira),-20.329934,-40.314527
Colatina,Itapina,-19.533579,-40.814069
VIla Velha,Rio Aribiri,-20.343116,-40.336461
Vitória,Andorinhas,-20.287885,-40.305711
Guarapari,Guarapari,-20.658663,-40.528875
Colatina,Centro de Colatina,-19.528111,-40.636546
Serra,JArdim Limoeiro,-20.212369,-40.258390
VIla Velha,Xuri,-20.470138,-40.467513
Marataízes,Barra do Itapemirim,-21.010458,-40.811157
Serra,Manoel Plaza,-20.235004,-40.267996
Cariacica,Jardim América,-20.336836,-40.361234
Serra,Cidade Continental,-20.216273,-40.228884
Colatina,Colatina (Rio Doce),-19.532140,-40.634184
Castelo,Castelo,-20.604124,-41.205889
Aracruz,Santa Cruz,-19.955514,-40.152129
Vitória,Santa Lúcia (Reta da Penha),-20.299382,-40.299486
Linhares,JArdim Laguna,-19.376329,-40.052405
Minas Gerais,Governador Valadares,-18.861216,-41.951359
Pernambuco,Fernando de Noronha,-3.854902,-32.424144
Rio de Janeiro,Niterói,-22.914171,-43.080329
Linhares e São Mateus,Linhares e São Mateus,-19.096480,-39.718318
Grande Vitória,Grande Vitória,-20.265123,-40.329032
Conceição do Castelo,Conceição do Castelo,-20.357642,-41.245131
Linhares,Lagoa do meio,-19.373963,-40.060828
São Paulo,São José dos Campos,-23.218039,-45.894726
Vitória,Praia do Suá (Praça Dr. Demócrito Freitas),-20.311038,-40.298854
Vitória,Forte de São João,-20.319082,-40.324677
Cariacica,Campo Grande,-20.340429,-40.386667
Bahia,Teixeira de Freitas,-17.541840,-39.740706
Cariacica,Vila Capixaba,-20.340834,-40.399822
Fundão,Praia Grande,-20.038549,-40.185825
Vitória,Resistência (Pedreira Joana D'Arc),-20.279899,-40.319180
Bahia,Itanhém,-17.165663,-40.330068
Vitória,Goiabeiras (Parque tecnológico),-20.264829,-40.299892
Marechal Floriano,Marechal Floriano,-20.410606,-40.674914
Cabo Verde ,Ilha de Santiago,15.074327,-23.614815
Vila Velha,Argolas,-20.328125,-40.345413
Baixo Guandú,Baixo Guandú,-19.511228,-41.015801
São Mateus,São Mateus,-18.718623,-39.855455
Serra,Carapina,-20.235545,-40.244229
Serra,Barcelona,-20.171433,-40.251630
Vitória,Monte Belo,-20.313793,-40.313959
Vitória,Atlântica Ville,-20.261071,-40.258808
Serra,Laranjeiras,-20.197680,-40.252917
Vitória,Joana D'Arc (Vale do Mulembá),-20.285710,-40.319495
vitória,São Benedito,-20.302426,-40.306612
vitória,Jardim da Penha (Camburi),-20.282523,-40.288299
Domingos Martins,Pedra Azul,-20.392400,-41.029802
Vila Velha,Vale Encantado,-20.375919,-40.345211
Vila Velha,Prainha (Convento da Penha),-20.329503,-40.286972
vitória,Jucutuquara,-20.309229,-40.319807
Ibatiba,Ibatiba,-20.232785,-41.505404
Fundão,Enseada das Garças,-20.031008,-40.160273
Vila Velha,Morro do Moreno,-20.326249,-40.278722
vitória,Parque da Fonte Grande,-20.309500,-40.341187
Vila Velha,Canal da Costa,-20.351709,-40.294419
Serra,Lagoa de Jacuném,-20.159339,-40.219059
vitória,Bela Vista (Ilha da pólvora),-20.305911,-40.358654
Serra,Jardim Carapina (Rod. do Contorno),-20.219656,-40.291080
Cariacica e Vila Velha,Rio Marinho,-20.353923,-40.358214
vitória,Tabuazeiro (Morro do macaco),-20.296212,-40.324626
Vila Velha,Praia de Itaparica,-20.369609,-40.302846
Bahia ,Vitória da Conquista,-14.859089,-40.843216
Pinheiros,Pinheiros,-18.414277,-40.215209
Vitória,Parque Moscoso,-20.320152,-40.342402
Serra,Lagoa Juara,-20.129869,-40.215978
Piúma ,Piúma,-20.844293,-40.736905
Vitória,Santo Antônio,-20.307712,-40.353122
Vitória,República,-20.270161,-40.292917
Vila Velha,Centro de Vila Velha,-20.336146,-40.293092
Serra,Manguinhos,-20.196307,-40.193913
Serra,Parque Jacaraípe,-20.151355,-40.187219
Cariacica,Vista Dourada,-20.332622,-40.429490
Conceição da Barra,Conceição da Barra,-18.587678,-39.735078
Vitória,UFES Maruípe,-20.298268,-40.316435
Guaçui,Guaçui (Cristo redentor),-20.773077,-41.672144
Angola,Panguila,-8.716953,13.454434
Bahia ,Santa Cruz Cabrália,-16.282481,-39.027387
Vitória,Canal da Passagem,-20.286917,-40.303406
Rio Novo do Sul,Rio Novo do Sul,-20.863607,-40.933118
Cariacica,Rio Branco (Estádio Kleber Andrade),-20.333151,-40.385264
Vitória,Bela Vista,-20.304217,-40.348240
Vitória,Ilha do lameirão,-20.260928,-40.311891
Guarapari,Meaípe,-20.736550,-40.539763
Serra,De fátima,-20.248416,-40.264879
Vitória,Conquista,-20.278567,-40.323590
Vitória,Maruípe,-20.297209,-40.320710
Minas Gerais,Ipatinga,-19.472063,-42.469029
Guarapari,Três Praias,-20.636815,-40.469354
vitória,Praia do Canto (Praça dos namorados),-20.299268,-40.291448
Serra,São Diogo II,-20.220884,-40.257001
Vila Velha,Bairro Rio Marinho,-20.366305,-40.357039
República Democrática do Congo ,Kinshasa,-4.363848,15.294313
Cariacica,Itacibá,-20.321545,-40.373939
VItória,Ilha do príncipe,-20.322341,-40.349287
Cariacica,São Francisco,-20.346815,-40.404250
Minas Gerais,Itueta,-19.395967,-41.227011
Vila Velha,Morada da Barra,-20.430874,-40.365211
Fundão,Goiapaba-açu,-19.925236,-40.456775
Vitória,Praia do Suá,-20.312969,-40.299474
Vitória,São Pedro e Ilha do Frade,-20.282197,-40.335929
,,-20.301497,-40.281935
Mar,Mar,-20.327862,-40.216194
Cariacica,Cariacica (BR 262),-20.335509,-40.376114
Antártica,Antártica,-76.126736,-75.659040
Vila Velha,São Torquarto,-20.334141,-40.348300
Cariacica,Vila Capixaba,-20.338913,-40.399563
Viana,Viana,-20.359449,-40.426877
Vitória,Monte Belo (Av. Mascarenhas de Moraes),-20.317201,-40.311954
Fundão,Fundão,-19.935465,-40.409236
Vila Velha,Glória ,-20.336907,-40.307372
Cariacica,Alice Coutinho,-20.274553,-40.425854
Bahia ,Teixeira de Freitas,-17.541922,-39.742508
Vitória,Consolação,-20.307217,-40.312054
Anchieta ,Anchieta,-20.802101,-40.643419
Vitória,Comdusa,-20.286996,-40.334484
Serra,Planalto de Carapina (BR 101),-20.198341,-40.269242
Anchieta ,Maembá,-20.765142,-40.575627
Vitória, Jardim da Penha (Galpões do IBC),-20.282608,-40.296876
Cariacica,Nova Rosa da Penha,-20.257523,-40.385924
Minas Gerais,Nanuque,-17.842546,-40.346840
Minas Gerais,Barão de Cocais,-19.941199,-43.481163
Conceição da Barra,Itaúnas,-18.421399,-39.708270
Vitória,JAbour,-20.257856,-40.292490
São Mateus,UFES CEUNES,-18.675862,-39.861554
Vitória, Bairro Grande Vitória,-20.288560,-40.344336
Vitória,Santa Clara,-20.318765,-40.345311
Vila Velha,Ibis (Morro do cruzeiro),-20.335530,-40.345556
Vitória,Itararé,-20.296193,-40.307401
Vitória,Ilha do Frade,-20.3031953,-40.282122
Nova Venécia,Nova Venécia (Rio Cricaré) ,-18.711967,-40.395550
Serra,Jardim Tropical,-20.206232,-40.274282
Cariacica,Itaquari,-20.329003,-40.361857
Ibitirama,Pedra Roxa,-20.408765,-41.721588
VIla Velha,Ibis,-20.350813,-40.314671
Guaçui ,Guaçui,-20.773421,-41.678860
Itaguaçu,Itaguaçu,-19.803144,-40.856417
Serra,São Marcos,-20.126738,-40.318148
Vila Velha,Interlagos,-20.480658,-40.350693
Vitória,Joana D'Arc,-20.285331,-40.314475
Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,-20.845097,-41.114701
Cabo Verde,Cabo Verde,15.038115,-23.545712
Alfredo Chaves,Alfredo Chaves,-20.636357,-40.748868
Mucurici,Mucurici,-18.097306,-40.520620
Serra,Pitanga,-20.164976,-40.275886
Vitória,Praia do Canto (Ilha formosa),-20.294622,-40.286301
Cariacica,Porto Engenho (Rod. do contorno),-20.245537,-40.369202
Cariacica,Condusa,-20.330822,-40.361779
Guarapari,Kubitschek,-20.680235,-40.516577
Cariacica,Operário,-20.346774,-40.412349
Vitória,Parque da pedra dos olhos,-20.302118,-40.328406
Rio Grande do Sul ,Porto Alegre,-30.043058,-51.174692
Guarapari,Parque Paulo Cesar Vinha,-20.597796,-40.415286
Espírito Santo,Espírito Santo,-19.745973,-40.619599
continente latinoamericano,continente latinoamericano,-14.209014,-61.391521
Brasil,Brasil,-12.671713,-50.539038
Estados Unidos,Estados Unidos,40.146681,-96.814347
itaquari (morro da companhia),itaquari (morro da companhia),-20.3285452,-40.3671258